gen,split,episode,avg_tps,avg_reward
0,train,1,1.49079e+06,1.49079e+06
0,test,1,1.4236e+06,1.4236e+06
1,train,2,1.75095e+06,1.75095e+06
1,test,2,1.66875e+06,1.66875e+06
2,train,3,1.76408e+06,1.76408e+06
2,test,3,1.68262e+06,1.68261e+06
3,train,4,1.74389e+06,1.74389e+06
3,test,4,1.67291e+06,1.67291e+06
4,train,5,1.35011e+06,1.35011e+06
4,test,5,1.3718e+06,1.3718e+06
5,train,6,1.37155e+06,1.37155e+06
5,test,6,1.37683e+06,1.37683e+06
0,train,1,1.36619e+06,1.36619e+06
0,test,1,1.37781e+06,1.37781e+06
1,train,2,1.71825e+06,1.71825e+06
1,test,2,1.5803e+06,1.5803e+06
2,train,3,47559.9,47559.8
2,test,3,48508.8,48508.8
3,train,4,1.28244e+06,1.28244e+06
3,test,4,1.27471e+06,1.27471e+06
4,train,5,1.28777e+06,1.28777e+06
4,test,5,1.29001e+06,1.29001e+06
5,train,6,1.34281e+06,1.34281e+06
5,test,6,1.01917e+06,1.01917e+06
6,train,7,772583,772583
6,test,7,1.00279e+06,1.00279e+06
0,train,1,1.48197e+06,1.48197e+06
0,test,1,1.40301e+06,1.40301e+06
1,train,2,1.71825e+06,1.71825e+06
1,test,2,1.5803e+06,1.5803e+06
2,train,3,1.32721e+06,1.32721e+06
2,test,3,1.25362e+06,1.25362e+06
3,train,4,1.36061e+06,1.36061e+06
3,test,4,1.3682e+06,1.3682e+06
4,train,5,1.29878e+06,1.29878e+06
4,test,5,1.45005e+06,1.45005e+06
5,train,6,537799,537799
5,test,6,587540,587539
0,train,1,1.43211e+06,1.43211e+06
0,test,1,1.42529e+06,1.42529e+06
1,train,2,1.36378e+06,1.36378e+06
1,test,2,1.23782e+06,1.23782e+06
2,train,3,209892,209892
2,test,3,307228,307228
3,train,4,1.22832e+06,1.22832e+06
3,test,4,1.20852e+06,1.20852e+06
4,train,5,1.24929e+06,1.24929e+06
4,test,5,1.24313e+06,1.24313e+06
5,train,6,241650,241650
5,test,6,244982,244982
6,train,7,263933,263933
6,test,7,274142,274142
7,train,8,1.31708e+06,1.31708e+06
7,test,8,1.22341e+06,1.22341e+06
8,train,9,1.19051e+06,1.19051e+06
8,test,9,1.29243e+06,1.29243e+06
9,train,10,1.25211e+06,1.25211e+06
9,test,10,1.24641e+06,1.24641e+06
10,train,11,1.33219e+06,1.33219e+06
10,test,11,1.46873e+06,1.46873e+06
11,train,12,1.28495e+06,1.28495e+06
11,test,12,1.36031e+06,1.36031e+06
12,train,13,1.23354e+06,1.23354e+06
12,test,13,1.23791e+06,1.23791e+06
13,train,14,340842,340841
13,test,14,337475,337475
14,train,15,1.22936e+06,1.22936e+06
14,test,15,1.13244e+06,1.13244e+06
15,train,16,1.25799e+06,1.25799e+06
15,test,16,1.31462e+06,1.31462e+06
16,train,17,1.2887e+06,1.2887e+06
16,test,17,1.32255e+06,1.32255e+06
17,train,18,1.22205e+06,1.22205e+06
17,test,18,1.24005e+06,1.24005e+06
18,train,19,1.23273e+06,1.23273e+06
18,test,19,1.37092e+06,1.37092e+06
19,train,20,1.18767e+06,1.18767e+06
19,test,20,1.29157e+06,1.29157e+06
20,train,21,1.67035e+06,1.67035e+06
20,test,21,1.64689e+06,1.64689e+06
21,train,22,1.61224e+06,1.61224e+06
21,test,22,1.64597e+06,1.64597e+06
22,train,23,1.60352e+06,1.60352e+06
22,test,23,1.62879e+06,1.62879e+06
23,train,24,1.28814e+06,1.28814e+06
23,test,24,1.27895e+06,1.27895e+06
24,train,25,1.31253e+06,1.31253e+06
24,test,25,1.33903e+06,1.33903e+06
25,train,26,1.27103e+06,1.27103e+06
25,test,26,1.2607e+06,1.2607e+06
26,train,27,1.21061e+06,1.21061e+06
26,test,27,1.23522e+06,1.23522e+06
27,train,28,1.18228e+06,1.18228e+06
27,test,28,1.22143e+06,1.22143e+06
28,train,29,1.25261e+06,1.25261e+06
28,test,29,1.30806e+06,1.30806e+06
29,train,30,1.29234e+06,1.29234e+06
29,test,30,1.30005e+06,1.30005e+06
30,train,31,1.39256e+06,1.39256e+06
30,test,31,1.32639e+06,1.32639e+06
31,train,32,570342,570342
31,test,32,619129,619129
32,train,33,1.27262e+06,1.27262e+06
32,test,33,1.26976e+06,1.26976e+06
33,train,34,1.43008e+06,1.43008e+06
33,test,34,1.39655e+06,1.39655e+06
34,train,35,732646,732646
34,test,35,611853,611853
35,train,36,763922,763922
35,test,36,531504,531504
36,train,37,1.23596e+06,1.23596e+06
36,test,37,1.24202e+06,1.24202e+06
37,train,38,1.26939e+06,1.26939e+06
37,test,38,1.28776e+06,1.28776e+06
38,train,39,849243,849243
38,test,39,645399,645399
39,train,40,1.1495e+06,1.1495e+06
39,test,40,1.23223e+06,1.23223e+06
40,train,41,1.31715e+06,1.31715e+06
40,test,41,1.2235e+06,1.2235e+06
41,train,42,1.29363e+06,1.29363e+06
41,test,42,1.30518e+06,1.30518e+06
42,train,43,605863,605863
42,test,43,835996,835996
43,train,44,730875,730875
43,test,44,717685,717685
44,train,45,1.25454e+06,1.25454e+06
44,test,45,1.27787e+06,1.27787e+06
45,train,46,1.34806e+06,1.34806e+06
45,test,46,1.37171e+06,1.37171e+06
46,train,47,1.29052e+06,1.29052e+06
46,test,47,1.32694e+06,1.32694e+06
